activite_branches|activite_branches_reduite|activite_insee_1949|activite_sgf_1936|adresse|affiliation|annee_creation|annee_disparition|annee_fusion|annuaire_1890|annuaire_1897|annuaire_1914|caran|cas_problematique|Cgpf_1930|cgpf_groupe|chgt_dpt|chgt_type|commerce_en_gros|commune|cote_dossier|cote_registre|date_creation|date_declaration|date_dissolution|departement|dissolution|duree_syndicat|effectif_creation|effectifs_evolution|effectifs_sources|fusion|id_coac|lieu_conservation_dossier|lieu_conservation_registre|nouvelles|numero|numero_syndicat|numro_synd_absorbant|observations|pk|present_01_01_1890|present_01_01_1900|present_01_01_1914|present_01_01_1920|present_01_01_1926|present_01_01_1930|present_01_01_1936|present_01_01_1937|present_théorique_01_01_1890|present_théorique_01_01_1900|present_théorique_01_01_1914|present_théorique_01_01_1920|present_théorique_01_01_1926|present_théorique_01_01_1930|present_théorique_01_01_1936|present_théorique_01_01_1937|section|theorique_sect_01_01_1884|theorique_sect_01_01_1890|theorique_sect_01_01_1900|theorique_sect_01_01_1914|theorique_sect_01_01_1920|theorique_sect_01_01_1926|theorique_sect_01_01_1930|theorique_sect_01_01_1936|theorique_sect_01_01_1937|titre_du_syndicat_modifie_1|titre_du_syndicat_modifie₂|titre_du_syndicat_originel|type_syndicat_1|type_syndicat2|zone_couverte_origine|nature_du_syndicat|titre_du_syndicat_copie|archivage|lieu_conservation_registre_copie|divers|notes|activite|activite_insee_49_00_000|cas_douteux|fichier_complement|present_theorique_01_01_1946
BTP|Industrie|33|4Q|Place de la Grenette||1899|||||||||||||Oyonnax|57M3 (1)||22/3/1899|22/3/1899||01||-1899|18|1901 : 15|57M3|||AD||||1011||"AD Ain, 57M3(2) en 1901 “Le syndicat fonctionne très difficilement par suite de la nonchalance et de la négligence de la plupart de ses  membres”.
57M4(1), syndicats de 1899 : “Le syndicat a été fondé dans le but de relever les prix du travail et de la main-d'oeuvre, pour régler les différends qui peuvent survenir entre patrons et propriétaires ou entrepreneurs de travaux”."|11|||||||||||||||||||Non|Non|||||||||Chambre syndicale des charpentiers et menuisiers de la ville d'Oyonnax||syndicat professionnel|commune (zones limitrophes)|||||||||||
||78|6A|||1900|||||||||||||Bellegarde-sur-Valserine|52M3||16/09/1900|20/09/1900||01||-1900|65|1901 : 60 (52 M 3(2))|52M3|||AD||||1012|||12|||||||||||||||||||Non|Non|||||||||Syndicat des débitants de boissons du département de l'Ain||syndicat professionnel|département|||||||||||
||77 - 78|6A|Rue Voltaire (café Gallet); 48 du fb de Lyon (1914)||1901|||||Oui||||||||Bourg-en-Bresse|||20/01/1901|||01|Oui|-1901|140|"1901 : 135
1902 : 115
1907 : 138
1909 : 212
1914 : 246"|||||Préfecture||45|1013||"Transformé après dissolution le 2/1/1945, Bourg, 13 rue ND (M. Lansard)
Nouveau titre en 1981
En 1907 est adhérent de l'Union fédérale des boissons de la région du Sud-Est.

57M3(2), Fiche situation au 1/1/1892 : “syndicats très actif qui s'occupe sérieusement des impôts relatifs aux débits de boissons, droits d'entrée en ville et taxe municipale”
Ibidem, rapport de la marie de bourg au Préfet, 30/1/1902 : “s'occupe activement de la situation qui a été faite aux débitants de toutes catégories par suite de l'établissement des taxes de remplacement d'octroi, résultant de l'application de la loi du 29 décembre 1897. Ce syndicat vise à la réforme des licences municipales par l'abaissement du taux auquel elles ont été fixées et à la création d'autres taxes frappant indistinctement tous les habitants."|13|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|Oui||Syndicat départemental des cafetiers hôteliers de Bourg (nom en 1949)|Chambre d'industrie hôtelière de l'Ain (1981)|Syndicat des cafetiers, hôteliers et restaurateurs de Bourg et des environs||syndicat professionnel|commune (zones limitrophes)|||||||||||
||91|7|chez M. Antoine, avoué rue du palais (1914)||1901|||||Oui||||||||Trévoux|57 M 772||23/12/1901|07/04/1902||01||-1901||"1908 : 25, 23 (1914)
1920 : 17"||||AD||||1014||"Date déclaration d'après fiche signalétique 1908 (AD Ain, 57 M 258)
1908 : adhérent à l'union des syndicats médicaux du Sud-Est."|14|||||||||||||||||||Non|Non|Oui||||||||Syndicat des médecins de l'arrondissement de Trévoux||syndicat professionnel|arrondissement (zones limitrophes)|||||||||||
||91|7|19 avenue Alsace-Lorraine (c/o M. Aroud)||1902|||||Oui||||||||Bourg-en-Bresse|57M3(2)||11/12/1902|19/01/1903||01||-1902||"1904 : 19
1911 : 23; 30 (1914)
1920 : 32"||||AD|Préfecture||51|1015||"1908 : est adhérent de l'Union des syndicats médicaux de France.
annuaire 1914 : syndicat médical de la région de Bourg 
préfecture (n°51 avec effectif de création 62mbres)"|15|||||||||||||||||||Non|Non|Oui||||||"syndicat médical de la région de Bourg 
Syndicat des médecins de l'arrondissement de Bourg"|Syndicat des médecins de l'Ain (n° 1352, avant 1949, mais quand ?)|Syndicat des médecins de la région de Bourg||syndicat professionnel|commune (zones limitrophes)|||||||||||
||91|7|chez le dr Levrat||1903|||||Oui||||||||Nantua|||05/07/1903|25/07/1903||01|Oui|-1903|54|"1908 : 42
1909 : 35
1911 : 43, 52 (1914)
1920 : 42"|||||Préfecture||52|1016||"1908 : adhérent à l'Union des syndicats médicaux du Sud-Est et à l'Union des syndicats médicaux de France.
Dissous à la Libération et rattaché au syndicat départemental."|16|||||||||||||||||||Non|Non|Oui||||||Syndicat médical du Bugey et du pays de Gex (en 1914)||Syndicat des médecins du Bugey et du Pays de Gex||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||91|7|||1903|||||||||||||Bourg-en-Bresse|57 M  258||14/12/1903|14/12/1903||01||-1903||"1908 : 8
1911 : 5"||||AD||||1017||Statut dans dossiers renseignements annuels synd prof pour 1907, AD Ain 57 M 258|17|||||||||||||||||||Non|Non|||||||||Syndicat des pharmaciens de Bourg||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|18 cours de Verdun; 10 rue Gambetta (1914)||1904|||||Oui|||Oui|2||||Bourg-en-Bresse|||23/10/1904|23/10/1904||01|Non|-1904|80|"1908 : 7
1911 : 7; 1914 : 8
1920 : 5"|||||Préfecture||54|1018||1908 : adhérent à la Fédération des charcutiers de France|18|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Syndicat départemental des patrons charcutiers de l'Ain|Syndicat  de la charcuterie de la ville de Bourg (1930)|Syndicat professionnel des patrons charcutiers de la ville de Bourg||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
|Commerce|75|6A|rue Charles Robin, chez le prdt (1914)||1905|||||Oui|Oui|||||||Bourg-en-Bresse|57 M 772||24/03/1905|07/04/1905||01||-1905|12|"1908 : 11
1911 : 8; 6 (1914)
1920 : 6"||||AD||||1019||"AD Ain 57 M 772, état synd patronaux 1920 : dissous entre 1914 et 1919.

CARAN :
— syndicat des fabricants de sabots de Bourg
même date de crétion, même adresse
aucun chiffre après 1914"|19|||||||||||||||||||Non|Non|Oui|Oui|Non|Non|Non|Non|Apparaît parfois comme chambre syndicale des fabricants de sabots de Bourg.||Chambre syndicale des marchands de sabots de Bourg||syndicat professionnel|commune (zones limitrophes)|||||||||||
||33|4Q|10 avenue Jean Jaurès, place du marché (1914)||1906|||||Oui|||Oui|3||||Oyonnax|||18/06/1906|||01|Oui|-1906|37|"1911 : 40, 32 (1914)
1920 : 34"|||||Préfecture||70|1020||"Registre Préfecture indique création 19/4/1907 (il s'agit probablement de la déclaration)
AD Ain, 57 M 336, fiche signalétique 1911 indique création et dépôt statut en mairie en 1906.
AD Ain, 57 M 772, état des syndicats dans l'arrondissement de Nantua indique création en 1906 et AD Ain, 57 M 258 fiche signalétique 1908 indique création 18/6/1906 et constitution idem
Modification statuts en février 1927 (ADAin, 57M 861)
dissolution au plus tard  en 1949, membres rattachés au synd général dubâtiment à Bourg"|20|||Oui||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Chambre syndicale des entrepreneurs en bâtiment d'Oyonnax (en 1930)||Chambre syndicale des entrepreneurs en bâtiment et mécaniciens de la région d'Oyonnax||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
|Commerce|77 - 78|6A|Mairie||1906||||||Oui|||||||Belley|||01/06/1906|06/05/1936|15/5/1946|01|Oui|-1906|48|"1920 : 150
1936 : hommes 45"||Oui||AD|Préfecture||660|1021||"Registre préfecture : création en 1919. Se fond en 1946 dans le syndicat départemental 13, rue Notre-Dame à Bourg
Mais Un état de 1920 sur l'arrondissement de Belley (ADAin, 57M772, indique juin 1906 comme date de création).
AD Ain 57 M 861, lettre du sous-prefet du 16/1/1926: création en juin 1906, a cessé de fonctionné depuis 1919.
Il peut s'agir de deux sydicats différents. Le plus récent étant une recréation après une période de léthargie.
"|21|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|Oui|Oui|||Syndicat des débitants de boissons, restaurateurs, hôteliers, limonadiers de Belley et région||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||84|6C|42 rue Bourgmayer (1914)||1906|||||Oui|Oui|||||||Bourg-en-Bresse|57 M 772||01/01/1906|23/03/1906||01||-1906|29|"1908: 29
1911 : 28
1914 : 28
1920 : 26"||||AD||||1022||création : janvier 1906|22|||||||||||||||||||Non|Non|Oui|Oui|||||||Chambre syndicale des agents généraux, représentants de compagnies françaises d'assurances à primes fixes contre l'incendie, la vie, la grêle et les accidents.||syndicat professionnel|commune (zones limitrophes)|||||||||||
||69|6A|rue NOtre dame (café Hyppolyt's)||1906|||||Oui||||||||Bourg-en-Bresse|57 M 258 ||22/04/1906|07/08/1906||01||-1906||"1908 : 15
1909 : 68
1911 : 130
1920 : 58"||||AD|Préfecture||7|1023||"Semble avoir été aussi nommé syndicat des expéditeurs de volailles, beurre et oeufs de la Bresse (A.D. Ain, 57 M 258, fiche signalétique de 1908)
année de création donnée : 1884 (Syndicat des expéditeurs de volailles, beurre et oeufs, même adresse, 1920 = 58)
"|23|||||||||||||||||||Non|Non|Oui||||||||Syndicat des expéditeurs de volailles, beurre et oeufs à Bourg||syndicat professionnel|commune (zones limitrophes)|||||||||||
||77 - 78|6A|grande rue (1914)||1908|||||Oui||||||||Oyonnax|||09/09/1908|09/09/1908||01|Oui|-1908|94|"1909 : 69, 66 (1914)
1920 : 72"|||||Préfecture||83|1024||"AD Ain, 57 M 772, état des syndicats dans l'arrondissement de Nantua indique création en 1910
dissolution au plus tard  en 1949, membres adhérent au syndicat départemental à Bourg"|24|||||||||||||||||||Non|Non|Oui||||||||Syndicat des cafetiers, hôteliers et restaurateurs du canton d'Oyonnax et des environs||syndicat professionnel|canton (zones limitrophes)||||Préfecture|||||||
||47|4F|64 rue Charles-Robin (1914)||1908|19201925||||Oui|Oui|||||||Bourg-en-Bresse|57 M 772||25/02/1908|25/03/1908||01|Oui|19200017|24|"1908 : 22
1911 : 23; 18 (1914)
1920 : 12"||||AD||||1025||déclaration : 1908|25|||||||||||||||||||Non|Non|Oui|Oui|Non|Non|Non|Non|||Syndicat des cordiers de l'Ain||syndicat professionnel|département|||||||||||
|Commerce|89|8A|Mairie||1908||||||Oui|||||||Chatillon-sur-Chalaronne|57M336||18/03/1908|20/03/1908||01|Oui|-1908||1911 : 12||||AD||||1026||CARAN : aucun chiffre après 1911|26|||||||||||||||||||Non|Non|||||||||Syndicat régional des patrons coiffeurs de chatillon sur Chalaronne||syndicat professionnel|commune (zones limitrophes)|||||||||||
||43|4B|Hôtel de Ville||1908|19261930||||Oui|Oui|||||||Gex|||02/03/1908|16/12/1908||01|Oui|19260022|32|"36 (1910)
27 (1914)
36 (1921)"||||||||1027|||27|||||||||||||||||||Non|Non|Oui|Oui|Oui||||||Syndicat des fruitières du pays de Gex (fromagerie)||syndicat professionnel|région géographique||||Préfecture|||||||
||89|8A|rue Pasteur||1910|||||||||||||Oyonnax||||||01|Non|-1910|10||||||Préfecture||91|1028|||28|||||||||||||||||||Non|Non|||||||||Chambre syndicale des patrons coiffeurs d'Oyonnax||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||42|4B|||1910|19261930||||Oui|Oui|||||||Ambutrix|57 M 772||13/02/1910|12/03/1910||01|Oui|19260020||"1911 : 29
1914 : 107
1920 : 90
"||||AD||||1029||"Création paraît être liée aux menaces pesant contre le privilège des bouilleurs de cru (propositions d'amendements ou de suppression de la loi du 27/2/1906)
Ne fonctionne plus depuis 1914 (ADAin, 57 M 861, lettre du maire d'Ambutrix, au sous-préfet, 15/10/1926).."|29|||||||||||||||||||Non|Non|Oui|Oui|Non||||||Syndicat des distillateurs agricoles ambulants de l'Ain.||syndicat professionnel|département|||||||||||
||75|6A|"15 rue neuve (1914)
11 rue d'Espagne (1927)"||1910|||||Oui|Oui|||||||Bourg-en-Bresse|"57 M 772
57 M 861"||01/01/1910|31/01/1910||01||-1910||"1911 : 26; 1914: 10)
1927 : 17 
1927 : 80 pour la préfecture qui le considère comme un nouveau syndicat en 1927 (n° 407)
"||||AD|Préfecture||407|1030||"AD Ain 57 M 772, état synd patronaux 1920 : dissous entre 1914 et 1919.
Apparaît comme nouveau syndicat en 1927(en fait modification des statuts puisque les statuts déposés indquent que la création remonte au 1/2/1910)

CARAN : 2 dossiers séparés : 
— Syndicat des marchands de chaussures de la ville et du canton de Bourg
date de création 24/10/1927
5 mbres en 1927
dissous en 1930

— syndicat professionnel de la chaussure création 1910
aucun chiffre après 1914

"|30|||||||||||||||||||Non|Non|Oui|oui|oui|Oui|||"Syndicat professionnel de la chaussure
Syndicat professionnel des cordonniers de l’Ain et des environs"|Syndicat professionnel départemental de la chaussure (1930, CGPF)|"Syndicat professionnel de la chaussure de Bourg et des environs
"||syndicat professionnel|commune (zones limitrophes)|||||||||||
||22|4L|Mairie||1910|19261930||||Oui|Oui|||||||Montluel|57 M 772||21/10/1910|09/11/1910|27/12/1925|01|Oui|19260020|30|20 (1914, 1920)||||AD||||1031||"déclaration : août 1910
modification des statuts en 1912"|31|||||||||||||||||||Non|Non|Oui|Oui|Oui||||||Syndicat des maréchaux ferrants du canton de Montluel et de la région||syndicat professionnel|canton (zones limitrophes)|||||||||||
||69|6A|||1910|||||||||||||Bourg-en-Bresse||||||01||-1910||||||AD|préfecture|||1032|||32|||||||||||||||||||Non|Non|||||||||"Syndicat des petits épiciers du département de l'Ain
"||syndicat professionnel|département|||||||||||
||41|4B|"110 boulevard de Brou; 
rue neuve (1914)"||1911|||||Oui|||Oui|2||||Bourg-en-Bresse|57 M 772, 861|||||01|Oui|-1911|362|"1911 : hommes 350
1914 : 32
1928 : 346 h"|||||Préfecture||106424|1033||"annuaire 1914 : création 1910
AD 01, 57 M 861, déposition de statut à la mairie de Bourg le 4/4/1928. Considéré comme un nouveau syndicat alors qu’il s’agit plutôt d’une modification des statuts de 1911."|33|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Chambre syndicale patronale de la Boulangerie bresanne et de la banlieue (FS 1919, AD 01, 57 M 772).|Syndicat départemental des boulangers de l’Ain|Chambre syndicale patronale de la boulangerie||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||89|8A|49 avenue Jean Jaurès; 49 fb de Lyon (1914)||1912|||||Oui||||||||Bourg-en-Bresse|||01/10/1912|||01||-1912|20|19 (1914), 1920 : 8||Oui|||Préfecture||118|1035|1406|fusion en 1945|34|||||||||||||||||||Non|Non|Oui|Oui|||||||Chambre syndicale des patrons coiffeurs de la ville de Bourg||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||59|4J|place de la grenette (1914)||1912|||||Oui||||||||Oyonnax|||03/05/1912|15/06/1912||01|Oui|-1912|20|"53 (1913,1914)
1920 : 33"|||||Préfecture||119|1036||dissolution au plus tard  en 1949. A cette date, la section des entrecoupeurs membre du syndicat du peigne d'Oyonnax|35|||||||||||||||||||Non|Non|Oui||||||||Syndicat de patrons entrecoupeurs d'Oyonnax (industrie du peigne)||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
||33|4Q||Fédération régionale des chambres syndicales patronales du bâtiment de l’Est et du Sud-est (en 1913)|1912|19271930||||Oui|Oui|||||||Ambérieu-en-Bugey|57M772||23/06/1912|30/07/1912||01|Oui|19270018||"1913: 24, 
1914 : 22
1920 : 12"||||AD||||1037||AD Ain, 57 M 772, fiche signalétique sur 1919, selon son président “n'a jamais fonctionné pendant la guerre et se trouve de ce fait actuellement dissous”.|36|||||||||||||||||||Non|Non|Oui|Oui|||||1913 : adhérent à la fédération nationale du bâtiment||Chambre syndicale des entrepreneurs du bâtiment maîtres ouvriers et industriels d'Ambérieu||syndicat professionnel|commune (zones limitrophes)|||||||||||
||59|4J|||1912|||||||||||||Oyonnax|57M772|||||01||-1912||||Oui||AD||||1038||Fusion avec le syndicat des patrons découpeurs d'Oyonnax.|37|||||||||||||||||||Non|Non|||||||||Syndicat patronal des monteurs et monteuses d'Oyonnax pour la décoration du peigne||syndicat professionnel|commune (zones limitrophes)|||||||||||
||43|4B|45 rue sinte-marie (1914)||1912|||||Oui||||||||Belley||||||01||-1912||1914 : 92||||||||1039|||38|||||||||||||||||||Non|Non|Oui||||||||Syndicat des laitiers de Belley||syndicat professionnel|commune (zones limitrophes)|||||||||||
||91|7|rue Notre-Dame (café Lausan ?)||1913|||||||||||||Bourg-en-Bresse||||29/03/1921||01|Non|-1913|21||||||Préfecture||127|1040||57M772, fiche situation en 1921 indique : création 29/3/1921 et dépôt statuts à la mairie le 29/3/1921. Mais il semble que la date de déclaration a été reportée d'office comme date de création.|39|||||||||||||||||||Non|Non|||||||||Syndicat des vétérinaires du département de l'Ain||syndicat professionnel|département||||Préfecture|||||||
||22|4L|||1913|||||||||||||Meximieux||||||01|Oui|-1913|61||||||Préfecture||128|1041|||40|||||||||||||||||||Non|Non|||||||||Syndicat du charronnage de l'Ain et du Nord Lyonnais||syndicat professionnel|département||||Préfecture|||||||
||41|4B|grande rue (boulangerie Gruchon)||1913|||||Oui|Oui|||||||Oyonnax|||01/03/1913|15/03/1913||01|Oui|-1913|11|17 (1914)|||||Préfecture||129|1042||"AD Ain 57 M 772, état synd patronaux 1920 : dissous entre 1914 et 1919.
Dissolution indiquée dans le registre de la préfecture. dissolution au plus tard  en 1949. Devient une section du syndicat départemental

CARAN : rien après 1914"|41|||||||||||||||||Oui||Non|Non|Oui||||||Chambre syndicale de la boulangerie de la ville et du canton d'oyonnax (en 1914)||Syndicat des patrons boulangers d'Oyonnax||syndicat professionnel|commune (zones limitrophes)||||Préfecture|||||||
